Character,Dialogue,Sentiment,Sentiment Category
Nick Wilde," no its true. judy looks at him i think i was eight or maybe nine and all i wanted to do was join the junior ranger scouts. a flashback shows a young nick in front of a mirror being fitted in a scouts uniform by his mother. young nick stands straight trying to look fierce. she tickles him from behind causing him to flinch and giggle so my mom scraped together enough money to buy me a brand new uniform because by god i was gonna fit in even if i was the only predator in the troop  the only fox. young nick enters the junior ranger scouts where he is greeted by the scouts a zebra a hippo a wildebeest a woodchuck and a horse
",0.7946,Positive
Woodchuck Bully," okay nick.
",0.2263,Positive
Nick Wilde," i was gonna be part of a pack.
",0.0,Neutral
Woodchuck Bully," ready for initiation?
",0.3612,Positive
Nick Wilde," yeah! pretty much born ready. he comes down the stairs with a confident smile
",0.9168,Positive
Nick Wilde," i was so proud.
",0.6113,Positive
Woodchuck Bully," okay. now raise your right paw and deliver the oath.
",0.2263,Positive
Nick Wilde," raises his paw with two fingers up i nicholas wilde promise to be brave loyal helpful and trustworthy!
",0.9381,Positive
Woodchuck Bully," his smile suddenly fades even though youre a fox?
",0.3612,Positive
Nick Wilde," confused what? the woodchuck bully turns off the flashlight. then young nick gets roughly pushed to the floor and is held down by two of the ranger scouts. all of them glare at him. no no! what did i do wrong you guys?! no please! tell me! what did i do wrong?! woodchuck bully straps a muzzle on young nick what did i do?! shakes his head no!
",-0.9647,Negative
Woodchuck Bully," chuckles darkly if you thought we would ever trust a fox without a muzzle youre even dumber than you look! young nick runs out of the building and goes to the side terrified. the others laugh cruelly.
",-0.3802,Negative
Nick Wilde," narrating i learned two things that day. the flashback ends and we return to the present one: i was never gonna let anyone see that they got to me.
",0.0,Neutral
Judy Hopps," and two?
",0.0,Neutral
Nick Wilde," if the worlds only gonna see a fox as shifty and untrustworthy theres no point in trying to be anything else.
",-0.296,Negative
Judy Hopps," nick you are so much more than that. judy places her paw on nicks arm. nick looks at her and pulls back.
",0.0,Neutral
Nick Wilde," inhales trying to change the subject looking out of the car boy look at that traffic down there. how about we go up to chuck in traffic central? puts two fingers up to his ear imitating a reporter chuck howre things looking on the jamcams?
",0.0,Neutral
Judy Hopps," nick im glad you told me.
",0.4588,Positive
Nick Wilde," gets an idea the jamcams...
",0.0,Neutral
Judy Hopps," seriously its okay
",0.0516,Positive
Nick Wilde," no no no shh! there are traffic cameras everywhere all over the canopy! points excitedly to one just above their heads hidden in the fronds of a fake palm tree. whatever happened to the jaguar...
",0.5514,Positive
Judy Hopps," the traffic cams would have caught it!
",0.0,Neutral
Nick Wilde," bingo!
",0.0,Neutral
Judy Hopps," ohho pretty sneaky slick! punches him in the arm
",0.3802,Positive
Nick Wilde," eh however if you didnt have access to the system before i doubt chief buffalo butt is gonna let you into it now.
",-0.3612,Negative
Judy Hopps," no... but i have a friend at city hall who might!
",0.68,Positive
Dawn Bellwether," uh sir if we could just review these very important... sir! almost steps on a mouse who looks at her in annoyance oh im so sorry. sir!
",-0.3679,Negative
Leodore Lionheart," okay! i heard you bellwether just take care of it! slams another folder on top of the pile please. and clear my afternoon im going out.
",0.8856,Positive
Dawn Bellwether," follows mayor lionheart trying to keep the folders balanced and gathering the scattering papers oh no but sir you do have a meeting with herds and grazing. sir if i can just...! mayor lionheart enters his office and lets the doors slam right in bellwethers face making her spill everything oh mutton chops. she picks up the folders until shes approached by judy and nick. judy helps pick up a folder
",-0.2244,Negative
Judy Hopps," assistant mayor bellwether we need your help. judy and nick are in bellwethers office where bellwether types on her computer. we just need to get into the traffic cam database.
",0.4019,Positive
Nick Wilde," whispering happily so fluffy!
",0.5983,Positive
Judy Hopps," sees nick in a loud whisper hey!
",0.0,Neutral
Nick Wilde," sheep never let me get this close.
",0.0,Neutral
Judy Hopps," you cant just touch a sheeps wool!
",0.0,Neutral
Nick Wilde," its like cotton candy!
",0.4199,Positive
Judy Hopps," swats nicks hand away stop it! catches the wool back in place just before bellwether turns to her
",0.3164,Positive
Dawn Bellwether," where to?
",0.0,Neutral
Judy Hopps," inhales uh rainforest district. vine and tujunga. judy glares at nick who just grins. bellwether shows camera icons for the map on the computer
",0.2263,Positive
Dawn Bellwether," there! traffic cams for the whole city. well this is so exciting actually. i mean well you know i never get to do anything this important.
",0.8627,Positive
Judy Hopps," but youre the assistant mayor of zootopia.
",0.0,Neutral
Dawn Bellwether," oh im more of a glorified secretary. her ears briefly droop i think mayor lionheart just wanted the sheep vote. but he did give me that nice mug! she shows a coffee mug with the words worlds greatest dad on it with dad crossed out and over it has assistant mayor.
",0.9197,Positive
Judy Hopps," oh.
",0.0,Neutral
Dawn Bellwether," smiling fondly hmm. feels good to be appreciated.
",0.9022,Positive
Leodore Lionheart," through intercom smellwether!
",0.0,Neutral
Dawn Bellwether," ah. thats a fun little name he likes to use. i called him lionfart once. he did not care for that. let me tell you it was not a good day for me. answers it yes sir?
",0.5427,Positive
Leodore Lionheart," through intercom i thought you were going to cancel my afternoon!
",-0.3164,Negative
Dawn Bellwether," oh dear. starts to leave i better go. let me know what you find. it was really nice for me to be
",0.8122,Positive
Leodore Lionheart," through intercom while were young smellwether! 
",0.0,Neutral
Dawn Bellwether," oh. she briefly struggles to open the door before rushing out of there
",-0.3612,Negative
Nick Wilde," you think when she goes to sleep she counts herself?
",0.0,Neutral
Judy Hopps," smiling slightly oh shush. looks through the cams okay traffic cams. tujunga tujunga... were in. they see footage of manchas chasing them into the log then manchas closing in on nick then judy and nick swinging off the vine. a van appears and two timber wolves get out who are these guys?
",0.5994,Positive
Nick Wilde," ugh. timber wolves. look at these dumdums. the timber wolves approach manchas and one of them fires a net trapping the jaguar. judy gasps. the wolves carry the captive manchas. bet ya a nickel one of thems gonna howl. the wolves howl and there it is. i mean what is it with wolves and the howling? its a...
",-0.4215,Negative
Judy Hopps," howlers. night howlers! thats what manchas was afraid of! wolves! the wolves are the night howlers! if they took manchas...
",0.0,Neutral
Nick Wilde," i bet they took otterton too.
",0.0,Neutral
Judy Hopps," all we gotta do is find out where they went. judy switches through the footages of the van driving out of the rainforest district to tundratown but it doesnt enter through tundratown wait whered they go?
",0.0,Neutral
Nick Wilde," uses the wireless touchpad and goes through another footage you know if i wanted to avoid surveillance because i was doing something illegal which i never have judy smiles slightly i would use the maintenance tunnel 6b. which would put them out... right there. the van drives out through the tunnel
",-0.8102,Negative
Judy Hopps," impressed well look at you junior detective. you know i think youd actually make a pretty good cop.
",0.8834,Positive
Nick Wilde," jokingly disgusted ugh. how dare you. judy chuckles nick follows the van through more footage acacia alley ficus underpass south canyon.
",-0.6249,Negative
Judy Hopps," mmhmm theyre heading out of town. where does that road go?
",0.0,Neutral
Judy Hopps," come on!
",0.0,Neutral
Nick Wilde," you are a clever bunny.
",0.4588,Positive
Judy Hopps," it looks like this was a hospital.
",0.3612,Positive
Nick Wilde," you know after you. youre the cop. annoyed judy turns off her phones flashlight opens the door and looks around. a room with an examination bed and three screens with a cat scan of a brain is seen through the doorway. nick peeks out through judys ears and looks around okay all clear. he slowly moves backward judys ears spring back into place. she rolls her eyes sighing turns on her phones flashlight again and looks around the room
",0.2263,Positive
Judy Hopps," all this equipment is brand new. takes pictures of the equipment
",0.0,Neutral
Nick Wilde," nervous carrots... points down revealing claw marks on the floor.
",-0.2732,Negative
Judy Hopps," claw marks.
",0.0,Neutral
Nick Wilde," yeah huge huge claw marks. i mean what kind of animal
",0.7003,Positive
Judy Hopps," mr. manchas. nick looks at manchass file. judy and nick walk up to another cell and find otterton inside. his glasses are broken his sweater is gone and he runs under the bed snarling its him! we found our otter. to mr. otterton reassuringly mr. otterton my name is officer judy hopps. your wife sent me to find you. were gonna get you out of here now.
",-0.1511,Negative
Nick Wilde," or not. guess hes in no rush to get home to the missus.
",-0.296,Negative
Judy Hopps," eleven twelve thirteen fourteen... not including manchas its... its fourteen. chief bogo handed out fourteen missing mammal files. theyre all here. all the missing mammals are right here.
",-0.5267,Negative
Leodore Lionheart," vexed enough! i dont want excuses doctor i want answers. mayor lionheart and dr. madge honey badger enter the room
",0.0951,Positive
Dr. Madge Honey Badger," mayor lionheart please. were doing everything we can.
",0.3182,Positive
Leodore Lionheart," really? cause ive got a dozen and a half animals here whove gone off the rails crazy and you cant tell me why! now id call that awfully far from doing everything!
",-0.4559,Negative
Dr. Madge Honey Badger," sir it may be time to consider their biology. judy gives a confused look and nick gives a suspicious look
",-0.5859,Negative
Leodore Lionheart," in angered confusion what? what do you mean biology?
",-0.7059,Negative
Dr. Madge Honey Badger," the only animals going savage are predators. we cannot keep it a secret we need to come forward!
",-0.5093,Negative
Leodore Lionheart," mock thinking putting a finger to his lips hmm great idea. tell the public. and how do you think theyre gonna feel about their mayor... gestures to himself before yelling right in dr. badgers face who is a lion?! ill be ruined! judy and nick look at each other in worry
",-0.7955,Negative
Dr. Madge Honey Badger," well what does chief bogo say?
",0.2732,Positive
Leodore Lionheart," chief bogo doesnt know. and we are going to keep it that way.
",0.0,Neutral
Judy Hopps," hushed no no no!
",0.2914,Positive
Leodore Lionheart," someones here!
",0.0,Neutral
Dr. Madge Honey Badger," sir you need to go. now! security sweep the area!
",0.4559,Positive
Nick Wilde," great! were dead! were dead thats it. im dead youre dead everybodys dead! leans against a toilet without realizing
",-0.9651,Negative
Judy Hopps," gets a sudden idea can you swim?
",0.0,Neutral
Nick Wilde," what? can i swim? judy puts her phone in a plastic bag yes i can swim. why?
",0.5007,Positive
Nick Wilde," carrots! hopps? worriedly judy! judy emerges holding her phone in the bag
",-0.555,Negative
Judy Hopps," panting we gotta tell bogo!
",0.0,Neutral
Benjamin Clawhauser," chief bogo!
",0.0,Neutral
Chief Bogo," not now!
",0.0,Neutral
Benjamin Clawhauser," wait is that gazelle?
",0.0,Neutral
Chief Bogo," tries to cover his phone with his hooves no!
",0.0,Neutral
Benjamin Clawhauser," you have the app too? hes so overjoyed that he puts his fists up to his own face in excitement aww chieeeeeef!
",0.8494,Positive
Chief Bogo," embarrassed clawhauser! cant you see im working on the missing mammal cases?!
",-0.6467,Negative
Benjamin Clawhauser," oh oh oh yes of course about that sir... officer hopps just called  she found all of them! chief bogo shows a stunned look
",0.3802,Positive
Judy Hopps," mayor lionheart you have the right to remain silent. anything
",0.0,Neutral
Leodore Lionheart," interrupting you dont understand! i was trying to protect the city!
",0.2462,Positive
Judy Hopps," you were just trying to protect your job.
",0.3818,Positive
Leodore Lionheart," no! listen we still dont know why this is happening. it could destroy zootopia!
",-0.6229,Negative
Judy Hopps," you have the right to remain silent. anything you say can and will be used against you in a court of law. you have the right to an attorney.
",0.0,Neutral
Chief Bogo," ladies and gentlemammals fourteen mammals went missing and all fourteen have been found by our newest recruit who will speak to you in a moment. but first let me remind you...
",-0.1531,Negative
Judy Hopps," ohh im so nervous.
",-0.4101,Negative
Nick Wilde," okay. press conference 101. you wanna look smart answer their question with your own question and then answer that question. like this: pretends to have a news reporter voice while pretending to hold a microphone excuse me officer hopps uh what can you tell us about the case? in a flutey impression of judys voice well was this a tough case? yes yes it was. normal voice you see?
",0.9292,Positive
Judy Hopps,"  you should be up there with me. we did this together.
",0.0,Neutral
Nick Wilde," well am i a cop? no. no i am not.
",-0.0258,Neutral
Judy Hopps," hm. funny you should say that. because well ive been thinking... it would be nice to have a partner. judy gives nick a zpd application here in case you need something to write with. judy gives nick her carrot pen. touched nick takes the pen and smiles.
",0.872,Positive
Dawn Bellwether," officer hopps! its time. judy looks at nick crossing her fingers and walks up to the podium.
",0.0,Neutral
Chief Bogo," at twenty two hundred hours we found all these missing animals. they appear to be in good health physically if not emotionally. so now ill turn things over to the officer who cracked the case officer judy hopps.
",-0.3353,Negative
Judy Hopps," points to a beaver uh yes?
",0.4019,Positive
Judy Hopps," well the... the animals in question... looks at nick who encourages her to say something are they all different species? yes yes they are. the reporters take note nick approves
",0.9022,Positive
Judy Hopps," oh all we know is that they are all members of the predator family.
",0.0,Neutral
Doug," so predators are the only ones going savage?
",-0.4588,Negative
Judy Hopps," that is accu yes that is accurate yes.
",0.6597,Positive
Judy Hopps," we still dont know. but it may have something to do with biology. after looking euphorically at his complete application nick takes notice in confusion
",-0.4215,Negative
Doug," offscreen what do you mean by that?
",0.0,Neutral
Judy Hopps," a biological component. you know something in their dna.
",0.0,Neutral
Judy Hopps," yes. what i mean is thousands of years ago uh predators survived through their... aggressive hunting instincts. nick confused at what judy is saying puts the application in his pocket and looks at the screen behind her for whatever reason they seem to be reverting back to their primitive savage ways.
",0.0258,Neutral
Judy Hopps," it is possible so we must be vigilant and we at the zpd are prepared and are here to protect you.
",0.6369,Positive
Dawn Bellwether," okay thank you officer hopps. uh thats all the time we have. no more questions. bellwether takes judy away from the reporters
",0.296,Positive
Judy Hopps," was i okay?
",0.2263,Positive
Dawn Bellwether," oh you did fine! judy walks up to nick
",0.2714,Positive
Judy Hopps," relieved oh that went so fast. i didnt get a chance to mention you or say anything about how we
",0.2168,Positive
Nick Wilde," reaching out a paw to stop her serious oh i think you said plenty.
",-0.1779,Negative
Judy Hopps," confused what do you mean?
",-0.3182,Negative
Nick Wilde," clearly theres a biological component? these predators may be... reverting back to their primitive savage ways? are you serious?
",-0.2824,Negative
Judy Hopps," i just stated the facts of the case. i mean its not like a bunny could go savage.
",-0.6261,Negative
Nick Wilde," disappointed and upset right. but a fox could huh?
",-0.431,Negative
Judy Hopps," nick stop it! youre not like them.
",-0.5577,Negative
Nick Wilde," even angrier now oh theres a them now?!
",-0.5562,Negative
Judy Hopps," ugh. you know what i mean. youre not that kind of predator.
",-0.4215,Negative
Nick Wilde," the kind that needs to be muzzled? the kind that makes you think you need to carry around fox repellent? motions to the fox repellent accusingly. judy sighs in shame yeah dont think i didnt notice that little item the first time we met. he rubs his temples in frustration so llet me ask you a question  are you afraid of me? judy with slight fear in her eyes and her nose twitching says nothing clearly taken aback do you think i might go nuts? he raises his arms in a fake crazy way do you think i might go savage?  lowers his voice threateningly do you think i might try to... he lunges forward a bit raising his arms and baring his claws eat you?! judy gasps and steps back revealing that she has opened the strap her paw just inches from the repellent. nick looks at her hurt and disgusted i knew it. scoffs judy looks what she is doing with mental horror of what she almost did and sighs. just when i thought somebody actually believed in me huh? gives judy back the application and leaves probably best if you dont have a predator as a partner.
",-0.9733,Negative
Judy Hopps," no nick! nick! she tries to follow him but is blocked by the reporters
",-0.5905,Negative
Judy Hopps," no hes my friend.
",0.25,Positive
Judy Hopps," that is not what i said. please
",0.3182,Positive
Fabienne Growley," more bad news in this city gripped by fear. they show a caribou being carried on a gurney into an ambulance while three police officers restrain a muzzled polar bear a caribou is in critical condition the victim of a mauling by a savage polar bear. this the 27th such attack comes just one week after zpd officer judy hopps connected the violence to traditionally predatory animals.
",-0.9665,Negative
Frantic Pig," go back to the forest predator!
",0.0,Neutral
Gazelle," interviewed zootopia is a unique place. its a crazy beautiful diverse city where we celebrate our differences. she looks behind herself for a moment and gestures this is not the zootopia i know. judy is still standing between the frantic pig and the leopard woman the zootopia i know is better than this. judy is on the train and she sees a tiger sitting next to a bunny mother and child playing on his phone placidly. the mother pulls the child close to her. the tigers eyebrows narrow slightly. judy looks on in shame we dont just blindly assign blame. we dont know why these attacks keep happening but it is irresponsible to label all predators as savages. in the hospital mrs. otterton sees her husband in his savage state tethered to a pole in the middle of the room snarling and pacing. judy walks up to her and puts her hand on her shoulder.
",-0.8537,Negative
Mrs. Otterton," sadly thats not my emmitt. judy somberly looks at her. mrs. otterson looks down and closes her eyes.
",-0.4215,Negative
Gazelle," with deep sadness narrating before the scene switches back to her we cannot let fear divide us. please give me back the zootopia i love.
",0.7374,Positive
Chief Bogo," come on hopps. the new mayor wants to see us.
",0.0,Neutral
Judy Hopps," the mayor? why?
",0.0,Neutral
Chief Bogo," it would seem youve arrived.
",0.0,Neutral
Judy Hopps," clawhauser? what are you doing?
",0.0,Neutral
Benjamin Clawhauser," um... they thought it would be better if a predator such as myself wasnt the first face that you see when you walk into the zpd.
",0.4404,Positive
Judy Hopps," distraught what?
",-0.5574,Negative
Benjamin Clawhauser," theyre gonna move me to records. its downstairs. its by the boiler. clawhauser sadly walks off judy looks at him upset and guilty. chief bogo calls to her by the door
",-0.802,Negative
Chief Bogo," hopps!
",0.0,Neutral
Judy Hopps," i dont understand.
",0.0,Neutral
Dawn Bellwether," our city is 90 prey judy and right now theyre just really scared. youre a hero to them. they trust you. and so thats why chief bogo and i want you to be the public face of the zpd. judy looks at the cover and gives thought
",0.6133,Positive
Judy Hopps," im not... im not a hero. i came here to make the world a better place but i think i broke it.
",-0.5736,Negative
Chief Bogo," dont give yourself so much credit hopps. the world has always been broken thats why we need good cops. like you.
",0.6344,Positive
Judy Hopps," with all due respect sir a good cop is supposed to serve and protect help the city not tear it apart. unclips and takes off her badge and puts it on the desk sadly. i dont deserve this badge.
",0.8176,Positive
Chief Bogo," shocked hopps.
",-0.3182,Negative
Dawn Bellwether," judy youve worked so hard to get here. its what you wanted since you were a kid. you cant quit.
",-0.2183,Negative
Judy Hopps," thank you for the opportunity.
",0.6486,Positive
Judy Hopps," depressed a dozen carrots. have a nice day.
",-0.128,Negative
Stu Hopps," hey there jude... jude the dude. remember that one? bonnie gives stu a look. howre we doing?
",0.0,Neutral
Judy Hopps," im fine.
",0.2023,Positive
Bonnie Hopps," you are not fine your ears are droopy. cut to bonnie and stus point of view. judys ears are indeed drooping over.
",-0.5411,Negative
Judy Hopps," why did i think i could make a difference?
",0.0,Neutral
Stu Hopps," because youre a trier thats why.
",0.0,Neutral
Bonnie Hopps," youve always been a trier.
",0.0,Neutral
Judy Hopps," oh i tried. and i made life so much worse for so many innocent predators.
",-0.1779,Negative
Stu Hopps," oh! not all of them though. speak of the devil right on time. the van has the words gideon greys real good baked stuff with fresh produce from hopps family farm and gideon grey grown up walks out of his van
",0.0752,Positive
Judy Hopps," is that... gideon grey?
",0.0516,Positive
Stu Hopps," yep! sure it is. we work with him now.
",0.5848,Positive
Bonnie Hopps," hes our partner and we never would have considered it had you not opened our minds.
",0.0,Neutral
Stu Hopps," thats right i mean gids turned into one of the top pastry chefs in the triburrows.
",0.2023,Positive
Judy Hopps," amazed thats... thats really cool you guys. gideon takes out pastries but looks up when he hears judy gideon grey. ill be darned.
",-0.1289,Negative
Gideon Grey," hey judy. id just like to say im sorry for the way i behaved in my youth. stammering iii had a lot of selfdoubt and it manifested itself in the form of unchecked rage and aggression. his ears droop i was a major jerk.
",-0.807,Negative
Judy Hopps," well i know a thing or two about being a jerk. she smiles gideon takes out a tray of pies
",0.4215,Positive
Gideon Grey," anyhow ii brought yall these pies. stu sees three shouting bunny children running towards a line of purple flowers
",0.0,Neutral
Stu Hopps," wagging a finger hey kids! dont you run through that midnicampum holicithius! 
",0.0,Neutral
Gideon Grey," surprised well now theres a fourdollar word mr. h my family always just called them night howlers.
",0.4588,Positive
Judy Hopps," she looks at gideon stunned im sorry what did you say?
",-0.1779,Negative
Stu Hopps," oh gids talking about those flowers judy. i use em to keep the bugs off the produce but i dont like the little ones going near em on account of what happened to your uncle terry.
",-0.395,Negative
Bonnie Hopps," yeah terry ate one whole when we were kids and went completely nuts.
",-0.101,Negative
Stu Hopps," he bit the dickens out of your mother.
",0.0,Neutral
Judy Hopps," a realization sweeps over her a bunny can go savage.
",-0.4588,Negative
Bonnie Hopps," savage? well thats a strong word but it did hurt like the devil.
",-0.8294,Negative
Stu Hopps," well sure it did. theres a sizable divot in your arm. id call that savage!
",0.1759,Positive
Judy Hopps," night howlers arent wolves theyre flowers. the flowers are making the predators go savage. thats it! thats what ive been missing! runs up to the family pickup truck oh keys keys keys keys hurry come on! stu fumbles tosses the keys to judy who grabs them and gets in the truck thank you! i love you bye! judy turns on the truck and drives back to zootopia leaving her parents and gideon bewildered.
",0.5673,Positive
Stu Hopps," you catch any of that bon?
",0.0,Neutral
Bonnie Hopps," not one bit.
",0.0,Neutral
Gideon Grey," still holding the tray of pies well that makes me feel a little bit better i thought she was talking in tongues or something.
",0.575,Positive
Finnick," furiously who is it?! he sees judy and his cranky expression softens
",-0.4926,Negative
Judy Hopps," desperately i need to find nick. putting her paws together desperate please. the scene changes to a bridge where judy looks for nick nick? nick? she peers over the bridge and sees nick in shades lounging on a chair and drinking from a cup. relieved judy walks up to him. oh nick! night howlers arent wolves theyre toxic flowers! i think someone is targeting predators on purpose and making them go savage. still upset with her nick puts down the drink and takes off his shades not even looking at her
",-0.7611,Negative
Nick Wilde," deadpan wow. isnt that interesting? gets up and walks under the bridge. judy distraught follows him.
",-0.2635,Negative
Judy Hopps," wait! uh wait listen! ii know youll never forgive me and i dont blame you  i wouldnt forgive me either. nick stops walking but he doesnt look at her i was ignorant and irresponsible and smallminded. but predators shouldnt suffer because of my mistakes. i have to fix this. but i cant do it without you. nick still doesnt look at her and... and after were done you can hate me tearfully and... and thatll be fine because i was a horrible friend and i hurt you and you... crying and you can walk away knowing that you were right all along  i really am just a dumb bunny.
",-0.9791,Negative
Judy Hopps," through carrot pen i really am just a dumb bunny. judy tearfully looks at nick. nick holds up the carrot pen and replays judys words i really am just a dumb bunny. nick turns to judy smiling at her
",-0.5574,Negative
Nick Wilde," dont worry carrots. ill let you erase it... in 48 hours. judy smiles and inhales cries tears of joy sniffs wiping away one all right get in here. judy walks up to nick and puts her head on nicks midtorso and they hug as she weeps more. he pats her head and pulls her closer okay oh you bunnies youre so emotional. there we go deep breath. are you are you just trying to steal the pen? is that what this is? judy laughing and weeping at the same time playfully tries to take the pen from nick then nick suddenly becomes serious you are standing on my tail though. winces off offoffoff.
",0.8889,Positive
Judy Hopps," takes a step back oh im sorry.
",-0.0772,Negative
Nick Wilde," happily ooh i thought you guys only grew carrots! eats more blueberries mm! voice slightly muffled from the blueberries whats your plan?
",0.6351,Positive
Judy Hopps," we are gonna follow the night howlers.
",0.0,Neutral
Nick Wilde," puts more blueberries in a handkerchief okay. how?
",0.2263,Positive
Judy Hopps," know this guy? shows her phone with a picture of the news of duke weaselton
",0.0,Neutral
Nick Wilde," tucking the handkerchief in his pants pocket uhhuh. i told you i know everybody!
",0.0,Neutral
Duke Weaselton," haha! well hello! step right up. anything you need i got it. we see zootopian versions of disney movies such as tangled wreckit ralph frozen 2 big hero 6 moana and gigantic all your favorite movies! ive got movies that havent even been released yet! to dharma who just declined hey 15 off. 20! make me an offer! come on! judy and nick approach him
",0.9164,Positive
Nick Wilde," well well. look who it is the duke of bootleg.
",0.4939,Positive
Duke Weaselton," whats it to you wilde? shouldnt you be melting down a pawpsicle or something? recognizes judy hey if it isnt flopsy the copsy.
",0.0,Neutral
Judy Hopps," we both know those werent moldy onions i caught you stealing. what were you gonna do with those night howlers weselton?
",-0.5719,Negative
Duke Weaselton," its weaselton! duke weaselton! and i aint talking rabbit. and there aint nothing you can do to make me. flicks his toothpick at judys face. she and nick look at each other slyly.
",0.0,Neutral
Mr. Big," ice him!
",0.0,Neutral
Duke Weaselton," you dirty rat! why are you helping her? shes a cop!
",-0.3147,Negative
Mr. Big," and the godmother to my future granddaughter. fru fru enters the room she is revealed to be pregnant.
",0.0,Neutral
Fru Fru," patting her belly im gonna name her judy!
",0.0,Neutral
Judy Hopps," touched aww!
",0.0,Neutral
Mr. Big," chuckles smiling at his daughter then turns to the polar bears ice this weasel.
",0.6249,Positive
Duke Weaselton," ahh! all right all right please! ill talk! ill talk! i stole them night howlers so i could sell em. they offered me what i couldnt refuse  money.
",-0.5544,Negative
Judy Hopps," and to whom did you sell them?
",0.0,Neutral
Duke Weaselton," a ram named doug. we got a drop spot underground. the scene changes to judy and nick walking to an abandoned subway station just watch it doug is the opposite of friendly. hes unfriendly.
",-0.5267,Negative
Judy Hopps," come on.
",0.0,Neutral
Judy Hopps," the weasel wasnt lying.
",0.4168,Positive
Nick Wilde," yeah it looks like ol dougs cornered the market on night howlers.
",0.3818,Positive
Doug," you got doug here. whats the mark? cheetah in sahara square got it. loads the serum pellet into a dart gun you serious? yeah i know theyre fast i can hit em. listen i hit a tiny little otter through the open window of a moving car.
",-0.2168,Negative
Doug," yeah ill buzz you when its done. places the dart gun into a case or youll see it on the news you know whichever comes first. a knock is heard
",-0.4588,Negative
Woolter," hey doug open up! weve got your latte!
",0.0,Neutral
Doug," alright woolter and jesse are back so im leaving now. out.
",0.25,Positive
Nick Wilde," whispered where are you going? where are you going? get back here! what are you doing hes gonna see you! judy takes a glance at the trains front controls where a red light is blinking rhythmically with a soft clicking noise. an idea is growing in her mind.  what are you looking at?! hey! whatever youre thinking stop thinking it! carrots! carrots!
",-0.4953,Negative
Doug," opens the door better have the extra foam this time
",0.4404,Positive
Woolter," hey! open up!
",0.0,Neutral
Nick Wilde," what are you doing?! you just trapped us in here!
",-0.6103,Negative
Judy Hopps," we need to get this evidence to the zpd!
",0.0,Neutral
Nick Wilde," grabs the case containing dougs dart gun okay great here it is. got it.
",0.5574,Positive
Judy Hopps," no. all of it!
",0.0,Neutral
Nick Wilde," wait what? judy runs to the front of the train and knocks a few controls on trying to get the old train to move. the controls die and judy bangs it starting it up again great youre a conductor now huh? hey listen it would take a miracle to get this rust bucket going. with a sudden jerk the train begins to move nick seems stumped. well hallelujah!
",0.8538,Positive
Nick Wilde," mission accomplished. would it be premature for me to do a little victory toottoot?
",0.4404,Positive
Judy Hopps," all right. one toottoot.
",0.0,Neutral
Nick Wilde," happily well i can cross that off the bucket list. 
",0.6908,Positive
Nick Wilde," i may have to rescind that victory toottoot. another thud from the top of the train this time straight over their heads.  maybe thats just hail?
",0.4588,Positive
Nick Wilde," back off!
",0.0,Neutral
Nick Wilde," incoming! 
",0.0,Neutral
Nick Wilde," carrots!
",0.0,Neutral
Judy Hopps," dont stop keep going!
",0.2914,Positive
Judy Hopps," do not stop this car!
",0.2914,Positive
Judy Hopps," shouting speed up nick speed up!
",0.0,Neutral
Nick Wilde," theres another train coming!
",0.0,Neutral
Judy Hopps," trust me. speed up!
",0.5562,Positive
Woolter," stop the train!
",-0.3595,Negative
Judy Hopps," to woolter hey! need some help?
",0.4574,Positive
Nick Wilde," oh no oh no no no too fast! too fast hold on! 
",0.4675,Positive
Nick Wilde," i think this is our stop!
",-0.3595,Negative
Judy Hopps," out of breath okay maybe... maybe some of the evidence survived.
",0.6369,Positive
Judy Hopps," stunned everything is gone. weve lost it all...
",-0.4019,Negative
Nick Wilde," equally stunned yeah. oh except for this. nick holds up the case containing dougs dart gun and laughs triumphantly
",0.7096,Positive
Judy Hopps," overjoyed ooh nick! yes! in her excitement judy gives nick a somewhat forceful punch to the arm and takes the case.
",0.8802,Positive
Nick Wilde," ow...
",0.0,Neutral
Judy Hopps," come on! we gotta get to the zpd. cut through the natural history museum!
",0.2462,Positive
Judy Hopps," look there it is! then they are stopped by a voice.
",-0.2942,Negative
Dawn Bellwether," judy! judy! they see bellwether with two sheep cops urgently heading their way.
",0.0,Neutral
Judy Hopps," mayor bellwether! the two run to her. we found out whats happening. someones darting predators with a serum. thats whats making them go savage!
",-0.555,Negative
Dawn Bellwether," im so proud of you judy. you did just a super job.
",0.807,Positive
Judy Hopps," thank you maam! judy starts to hand over the gun case over to bellwether. however she stops and looks at her in suspicious confusion. ...how did you know where to find us?
",-0.3164,Negative
Dawn Bellwether," ill go ahead and take that case now. bellwether insistently reaches over for the case but judy holds onto it tighter. fear starts to overtake judy and nick as they start to slowly walk away from bellwether.  
",-0.7269,Negative
Judy Hopps," uh you know what i think nick and i will just take this to the zpd.
",0.0,Neutral
Judy Hopps," run! judy and nick run back into the museum with judy holding onto the case for dear life.
",0.4389,Positive
Dawn Bellwether," angrily get them!
",-0.4753,Negative
Nick Wilde," carrots! nick goes back to judy. i got you. come here.  nick quickly carries her over to a nearby wall. judy sits back wincing over her cut.  okay just relax. he takes out his handkerchief to wrap judys leg. he accidentally spills a few blueberries on the floor whoops! blueberry?
",0.2225,Positive
Judy Hopps," in pain pass.
",-0.5106,Negative
